lon,lat,anio,clase,fuente,B02,B03,B04,B08,B11,B12,NDVI,NDWI
-99.0720036662834,19.138472380873786,2024,bosque,dynamic_world,270.0,462.0,426.0,1638.0,1525.0,992.0,0.5872093,-0.56
-99.13452641005811,19.134789288208896,2024,bosque,dynamic_world,189.0,347.0,224.0,2053.0,1455.0,806.0,0.8032499,-0.7108333
-99.02259632565682,19.135418108907782,2024,bosque,dynamic_world,369.0,532.0,554.0,1727.5,1347.5,886.5,0.5143546,-0.52909935
-99.04747965902693,19.14134698978297,2024,bosque,dynamic_world,311.0,489.0,464.0,1706.0,1629.0,1039.0,0.5723502,-0.5544419
-99.05960691536255,19.059600298928093,2024,bosque,dynamic_world,366.0,644.0,596.0,2439.0,1898.0,1142.0,0.6072488,-0.5822251
-99.1156617890916,19.144401261748975,2024,bosque,dynamic_world,307.0,532.0,466.0,1920.0,1752.0,1087.0,0.6093881,-0.56606853
-98.99843164451401,19.156798012669825,2024,bosque,dynamic_world,472.0,665.0,799.0,2061.0,1861.0,1342.0,0.44125873,-0.51210564
-99.02026070591812,19.126884113708645,2024,bosque,dynamic_world,351.0,501.0,542.0,1454.0,1178.0,839.0,0.45691383,-0.48746803
-99.04694066985647,19.111792416935437,2024,bosque,dynamic_world,132.0,248.5,163.0,1146.0,836.5,493.0,0.7509549,-0.64359987
-99.12796870848405,19.154372561402703,2024,bosque,dynamic_world,206.5,385.5,262.5,2360.0,1662.0,899.5,0.79980934,-0.7191768
-99.04074229439604,19.11924843379363,2024,bosque,dynamic_world,180.0,256.0,232.0,983.0,931.0,527.0,0.618107,-0.5867635
-99.04747965902693,19.117092477111743,2024,bosque,dynamic_world,223.0,379.0,305.0,1705.5,1024.5,593.0,0.69659287,-0.6363636
-99.0343642558788,19.150869131794636,2024,bosque,dynamic_world,228.5,349.0,333.0,1530.0,1423.5,944.0,0.6425121,-0.6285258
-99.12886702376817,19.1528454254197,2024,bosque,dynamic_world,455.0,665.5,759.5,2043.0,2294.0,1824.0,0.45798394,-0.5085841
-99.10685829930723,19.076308963212718,2024,bosque,dynamic_world,163.0,268.0,235.0,1522.0,848.0,471.0,0.7324986,-0.70055866
-99.0908682872499,19.17359650848286,2024,bosque,dynamic_world,333.0,521.0,436.0,1964.0,1426.0,965.0,0.63666666,-0.5806841
-99.06616461693662,19.155360708215234,2024,bosque,dynamic_world,310.5,431.5,458.0,1502.5,1681.5,1106.0,0.53277224,-0.55377454
-99.03705920173115,19.095622741821288,2024,bosque,dynamic_world,226.0,324.0,290.0,1606.0,1199.0,670.0,0.6940928,-0.6642487
-99.05745095868066,19.115295846543503,2024,bosque,dynamic_world,148.5,220.0,189.0,1453.5,1030.0,555.0,0.769863,-0.73707795
-99.09589885284097,19.073434354303533,2024,bosque,dynamic_world,227.0,380.0,390.5,1639.0,1342.5,761.5,0.61517614,-0.62357605
-99.04927628959517,19.077836099195718,2024,bosque,dynamic_world,268.0,462.0,421.0,1847.0,1516.0,924.5,0.6287478,-0.59982675
-99.12976533905228,19.113589047503677,2024,bosque,dynamic_world,253.5,402.0,343.5,1584.0,1367.0,870.5,0.6435798,-0.59516615
-99.05933742077731,19.084393800769792,2024,bosque,dynamic_world,200.0,335.0,284.0,1570.0,1186.0,652.0,0.6936354,-0.648294
-98.9975333292299,19.125087483140405,2024,bosque,dynamic_world,222.0,381.0,281.0,1782.0,895.0,457.0,0.7275812,-0.6477115
-99.0434372402484,19.120326412134574,2024,bosque,dynamic_world,212.0,348.0,297.0,1736.0,1338.0,756.0,0.70782095,-0.6660269
-99.05062376252135,19.086998915093737,2024,bosque,dynamic_world,242.5,355.0,310.5,1528.5,1164.5,669.0,0.6623165,-0.6230422
-99.09949211397746,19.159942116164245,2024,bosque,dynamic_world,478.0,616.0,794.0,1559.0,2123.0,1807.0,0.32511687,-0.43356323
-99.10766678306294,19.07406317500242,2024,bosque,dynamic_world,117.0,180.0,142.0,1449.0,844.0,424.0,0.8214959,-0.7790055
-99.0095707540371,19.144940250919447,2024,bosque,dynamic_world,318.0,469.0,498.0,1648.0,1470.0,939.0,0.5358807,-0.5569202
-99.03157947849802,19.126434956066586,2024,bosque,dynamic_world,192.0,305.5,234.0,1954.5,946.0,467.5,0.7861549,-0.729646
-99.06715276374915,19.059600298928093,2024,bosque,dynamic_world,262.0,513.0,362.0,2562.5,1297.0,691.5,0.75243634,-0.6663957
